,date,teams,home_team,away_team,opposition,result,score,home_goals,away_goals,aggregrate_score,peanalties,competition,season,year,month,day,swansea_goal,opposition_goals
0,05 Jan 1946,Bristol City v Swansea City,Bristol City,Swansea City,Bristol City,L,5-1,5,1,-,-,FA Cup,1945,1946,1,5,1,5
1,10 Jan 1946,Swansea City v Bristol City,Swansea City,Bristol City,Bristol City,D,2-2,2,2, 3-7,-,FA Cup,1945,1946,1,10,2,2
2,31 Aug 1946,Swansea City v West Bromwich Albion,Swansea City,West Bromwich Albion,West Bromwich Albion,L,2-3,2,3,-,-,League Division Two,1946,1946,8,31,2,3
3,04 Sep 1946,Southampton v Swansea City,Southampton,Swansea City,Southampton,L,4-0,4,0,-,-,League Division Two,1946,1946,9,4,0,4
4,07 Sep 1946,Newcastle United v Swansea City,Newcastle United,Swansea City,Newcastle United,D,1-1,1,1,-,-,League Division Two,1946,1946,9,7,1,1
5,09 Sep 1946,Swansea City v Nottingham Forest,Swansea City,Nottingham Forest,Nottingham Forest,W,3-2,3,2,-,-,League Division Two,1946,1946,9,9,3,2
6,14 Sep 1946,Swansea City v Bradford Park Avenue,Swansea City,Bradford Park Avenue,Bradford Park Avenue,L,1-6,1,6,-,-,League Division Two,1946,1946,9,14,1,6
7,21 Sep 1946,Swansea City v Tottenham Hotspur,Swansea City,Tottenham Hotspur,Tottenham Hotspur,L,0-2,0,2,-,-,League Division Two,1946,1946,9,21,0,2
8,28 Sep 1946,Burnley v Swansea City,Burnley,Swansea City,Burnley,L,1-0,1,0,-,-,League Division Two,1946,1946,9,28,0,1
9,03 Oct 1946,Swansea City v Southampton,Swansea City,Southampton,Southampton,W,4-2,4,2,-,-,League Division Two,1946,1946,10,3,4,2
10,05 Oct 1946,Swansea City v Barnsley,Swansea City,Barnsley,Barnsley,D,2-2,2,2,-,-,League Division Two,1946,1946,10,5,2,2
11,12 Oct 1946,Newport County v Swansea City,Newport County,Swansea City,Newport County,W,2-4,2,4,-,-,League Division Two,1946,1946,10,12,4,2
12,19 Oct 1946,Manchester City v Swansea City,Manchester City,Swansea City,Manchester City,D,1-1,1,1,-,-,League Division Two,1946,1946,10,19,1,1
13,26 Oct 1946,Swansea City v West Ham United,Swansea City,West Ham United,West Ham United,W,2-1,2,1,-,-,League Division Two,1946,1946,10,26,2,1
